ComicID,SeriesID,Series,Issue Number,Issue Title,PublisherID,Publisher,ImageURL,Cover Date,Cover Price,Format,Synopsis
1,1,Transmetropolitan (1997),1,The Summer of the Year,1,DC Comics,1/1/1_20050917191424_large.jpg,September 1997,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
2,1,Transmetropolitan (1997),2,Down the Dip,1,DC Comics,1/2/2_20050917135511_large.jpg,October 1997,US $ 2.50,Color;  Standard Comic Issue; 32 pages,"Spider Jerusalem, now re-acclimated to City, ventures into the dangerous Angels 8 District, home of the Transients-  humans who have decided to become aliens through cosmetic surgery. But Spider's penetrating interview with the Transient's' leader may get him a scoop he didn't bargain for."
3,1,Transmetropolitan (1997),3,Up on the Roof,1,DC Comics,1/2/3_20050917191112_large.jpg,November 1997,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
8,4,Starman (1994),6,"1882: Back Stage, Back Then",1,DC Comics,1/43/8_20060129175058_large.jpg,April 1995,US $ 1.95,Color;  Standard Comic Issue; 36 pages,"A Tale of Times Past.  The Shade battles a mentalist attempting to steal a fortune from a young orphan.  The Shade saves the day, with the promise of a small part of Opal City as his reward."
9,4,Starman (1994),27,Christmas Knight,1,DC Comics,1/46/9_20060222152441_large.jpg,February 1997,US $ 2.25,Color;  Standard Comic Issue,"On Christmas Eve, Jack Knight helps a homeless man recover a sentimental locket, as a Christmas gathering occurs at the O'Dare home."
10,4,Starman (1994),20,"Sand and Stars, Part One",1,DC Comics,1/46/10_20060218224154_large.jpg,July 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"Jack Knight travels to New York City in order to obtain assistance from Wesley Dodds regarding an artifact belonging to the Mist.  While there, Jack becomes involved in a murder mystery at Dodds' retirement community."
11,4,Starman (1994),21,"Sand and Stars, Part Two",1,DC Comics,1/46/11_20060218230520_large.jpg,August 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"As the murder mystery deepens, Jack Knight attempts to confront those behind the events on his own."
12,4,Starman (1994),22,"Sand and Stars, Part Three",1,DC Comics,1/46/12_20060219020224_large.jpg,September 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"With Jack Knight missing, Wesley Dodds investigates the unusual events surrounding the murders.  Dodds also reflects upon his relationship with Ted Knight."
13,5,Desolation Jones (2005),1,"Made in England, Part 1",1,DC Comics,1/856/13_20170508042722_large.jpg,July 2005,US $ 2.99,Color;  Standard Comic Issue; 36 pages,None entered.
14,4,Starman (1994),23,"Sand and Stars, Part Four",1,DC Comics,1/46/14_20060219021332_large.jpg,October 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,Wesley Dodds attempts a daring rescue of Jack Knight as the events at the core of the mystery unfold and nothing is as it appears to be.
15,5,Desolation Jones (2005),2,"Made in England, Part 2",1,DC Comics,1/1/15_20050911215517_large.jpg,September 2005,US $ 2.99,Color;  Standard Comic Issue; 36 pages,None entered.
16,3,Fell (2005),1,,6,Image Comics,1/1/16_20050912001216_large.jpg,September 2005,US $ 1.99,Color;  Standard Comic Issue,None entered.
17,21,Jack Cross (2005),1,Love Will Get You Killed - One of Four,1,DC Comics,1/856/17_20170508043653_large.jpg,October 2005,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
18,26,Ultimate Iron Man (2005),2,Ultimate Iron Man - #2,4,Marvel,1/2/18_20050920044005_large.jpg,June 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,"The second chapter of the biggest book of the year is here! Sci-Fi legend Orson Scott Card and comic book royalty Andy Kubert bring you the second part of the secret origin of Tony Stark, Ultimate Iron Man! A child of science and nature, Tony Stark is not like 'normal' kids - he's much more. See the construction of the man and his armor!"
19,26,Ultimate Iron Man (2005),3,Ultimate Iron Man - #3,4,Marvel,1/35/19_20051230050106_large.jpg,September 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,Don't miss this amazing chapter where Tony meets Jim 'Rhodey' Rhodes for the first time!
20,27,Rann/Thanagar War (2005),1,The Fires of War,1,DC Comics,1/145/20_20061124223515_large.jpg,July 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
21,27,Rann/Thanagar War (2005),2,Dark Resurrection,1,DC Comics,1/2/21_20050919205816_large.jpg,August 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
22,29,Albion (2005),1,No Future In England's Dreaming,1,DC Comics,1/4/22_20050924211541_large.jpg,August 2005,US $ 2.99,Color;  Standard Comic Issue,None entered.
23,29,Albion (2005),2,Strange Doors That We Never Closed Again,1,DC Comics,1/4/23_20050924213027_large.jpg,October 2005,US $ 2.99,Color;  Standard Comic Issue,None entered.
24,30,Young Avengers (2005),1,Sidekicks Part One,4,Marvel,1/887/24_20170928111753_large.jpg,April 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,"Four teenage superheroes have made the front page of the Daily Bugle.  No one knows who they are or where they came from.  Jessica Jones is assigned to investigate them for the Bugle.  Iron Man and Captain America want to shut them down before they hurt anyone, including themselves."
25,30,Young Avengers (2005),2,Sidekicks Part Two,4,Marvel,1/14/25_20051120004201_large.jpg,May 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
26,30,Young Avengers (2005),3,Sidekicks Part Three,4,Marvel,1/2/26_20050920040929_large.jpg,June 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
27,30,Young Avengers (2005),4,Sidekicks Part Four,4,Marvel,1/2/27_20050920040955_large.jpg,July 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
28,30,Young Avengers (2005),5,Sidekicks Part Five,4,Marvel,1/2/28_20050920041026_large.jpg,August 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
29,30,Young Avengers (2005),6,Sidekicks Part Six,4,Marvel,1/2/29_20050920041126_large.jpg,September 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
30,32,Green Lantern (2005),1,Airborne,1,DC Comics,1/154/30_20061231074132_large.jpg,July 2005,US $ 3.50,Color;  Standard Comic Issue; 48 pages,None entered.
31,32,Green Lantern (2005),2,No Fear,1,DC Comics,1/240/31_20080215115131_large.jpg,August 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
32,32,Green Lantern (2005),3,Flight Delay,1,DC Comics,1/240/32_20080215115227_large.jpg,September 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
33,32,Green Lantern (2005),4,Alienated,1,DC Comics,1/240/33_20080215115535_large.jpg,October 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,None entered.
34,24,Ultimate Six (2003),1,,4,Marvel,1/674/34_20141229161610_large.jpg,November 2003,US $ 2.25,Color;  Standard Comic Issue,None entered.
35,24,Ultimate Six (2003),2,,4,Marvel,1/674/35_20141229161655_large.jpg,November 2003,US $ 2.25,Color;  Standard Comic Issue,None entered.
36,56,Hitman (1996),1,A Rage in Arkham,1,DC Comics,1/1/36_20050910201609_large.jpg,April 1996,US $ 2.25,Color;  Standard Comic Issue; 32 pages,None entered.
37,6,Deadman (1986),1,Return... to Forever!,1,DC Comics,1/66/37_20060428072141_large.jpg,March 1986,US $ 0.75,Color;  Standard Comic Issue,None entered.
38,6,Deadman (1986),2,This Mortal Coil!,1,DC Comics,1/66/38_20060428072206_large.jpg,April 1986,US $ 0.75,Color;  Standard Comic Issue,None entered.
39,6,Deadman (1986),3,Breaking the Barrier,1,DC Comics,1/66/39_20060428072230_large.jpg,May 1986,US $ 0.75,Color;  Standard Comic Issue,None entered.
40,6,Deadman (1986),4,Circle of Fire,1,DC Comics,1/66/40_20060428072254_large.jpg,June 1986,US $ 0.75,Color;  Standard Comic Issue,None entered.
41,59,Wolverine: The Origin (2001),1,The Hill,4,Marvel,1/120/41_20060912002143_large.jpg,November 2001,US $ 3.50,Color;  Standard Comic Issue; 32 pages,"The newly orphaned Rose, a twelve year-old village girl, is taken in by John Howlett giving her a place to live and providing his sickly son a companion. The Howlett's mansion is extravagant, but is marked with tragedy. John's father, a self-made millionaire, despises his son's soft treatment of the help. John's wife, Elizabeth, lives upstairs, secluded from the rest of the family. She apparently struggles with mental illness. Rose soon becomes close friend with James and 'Dog' Logan, the caretaker Thomas Logan's son. Thomas Logan, however, is a much a classist as John's father and resents John's kindness to him and his son. He takes out his anger and frustation by beating his son with the slightest provocation."
42,59,Wolverine: The Origin (2001),2,Inner Child,4,Marvel,1/120/42_20060912001941_large.jpg,December 2001,US $ 3.50,Color;  Standard Comic Issue; 32 pages,"The action in this issue takes place a few years after issue #1. Mrs. Hopkins sends Rose to check on James. Arriving at James' room, Rose walks in on another argument between John and his father. John had been explaining to James that he must learn how to manage the household. Rose is sent away and inadvertently walks in on Mrs. Hopkins as she is helping Elizabeth Howlett dress. Rose notices large claw-like scars on Elizabeth's bare back and is immediately thrown out of the room by Mrs. Hopkins. Shocked by what she has seen, Rose rushed oyt of the house only to be confronted by Dog who attempts to molest her. James intercedes by screaming that he is going to tell his father. Distracted, Dog is slapped by Rose, who is able to get away. John Howlett confronts Thomas Logan about his son's behaviour. Later, while visiting his older brother's grave, James is attacked by Dog for getting him into trouble. James' dog Callie bites Dog on the heal, who then grabs the dog, pulls out a knife, and kills it. This action leads to John firing Thomas and kicking him and Dog off of his property. Later that evening, Thomas and Dog retur to the house. They kill Mr. Kenneth and force Rose to let them into the house. They go upstairs to Elizabeth's room where they are confronted by John. John is beaten and executed just as James enters the room. James enraged, attacks Thomas and kills him. James screams with bone-like claws dripping with blood protruding from the back of his hands."
43,59,Wolverine: The Origin (2001),3,The Beast Within,4,Marvel,1/120/43_20060912002442_large.jpg,January 2002,US $ 3.50,Color;  Standard Comic Issue; 32 pages,"In the aftermath of Thomas Logan's and John Howlett's deaths, James is thrown out of the house by his mother, calling him 'animal' and a 'damned abortion'. As he flees, Rose chases after him. As Dog is left severely wounded, Elizabeth puts a shotgun to her head and pulls the trigger. When the constables arrive with Old Man Howlett, Dog accuses Rose of commiting the killings. The next day James and Rose return to the house. Awaiting them is Howlett senior, who gives them money and tells them never to return. The pair head deeper within Canada seeking refuge at a distant outpost that provides stones for building. When asked Jame's name, Rose answers, 'Logan'."
44,59,Wolverine: The Origin (2001),4,Heaven and Hell,4,Marvel,1/679/44_20150119093547_large.jpg,February 2002,US $ 3.50,Color;  Standard Comic Issue; 32 pages,None entered.
45,59,Wolverine: The Origin (2001),5,Revelation,4,Marvel,1/120/45_20060912002835_large.jpg,May 2002,US $ 3.50,Color;  Standard Comic Issue; 32 pages,None entered.
46,59,Wolverine: The Origin (2001),6,Dust to Dust,4,Marvel,1/120/46_20060912003033_large.jpg,July 2002,US $ 3.50,Color;  Standard Comic Issue; 32 pages,None entered.
47,60,Uncanny X-Men (1963),1,X-Men,4,Marvel,1/381/47_20100215215502_large.jpg,September 1963,US $ 0.12,Color;  Standard Comic Issue; 35 pages,"At Xavier's School for Gifted Youngsters in Westchester County, New York, Professor Charles Xavier summons his students telepathically. When the Beast, Angel, Iceman, and Cyclops arrive, he puts them through a series of exercises to hone their mutant talents. Xavier then introduces them to a new student, Marvel Girl, to whom he explains the purpose of his school: his students do receive an education, but they are also the first line of defense against evil mutants. Meanwhile, at Cape Citadel, Magneto causes a rocket to crash. The next day, he takes over the whole base and claims it in the name of Homo superior (i.e. mutants). When Xavier hears about the incident, he sends his X-Men on their first mission. Cyclops uses his eye beams to make a hole in Magneto's force field, thus alerting him to their presence. Magneto launches a volley of heat-seeking missiles, which lock on to Angel; Iceman knocks most of them out, and the Beast catches the last one. Magneto sends metal debris at Angel; Cyclops destroys it. Magneto flings a burning tanker truck at the team; Iceman covers them with an ice shield, and Cyclops blasts a tunnel under the flames so that they come up near Magneto. Unprepared for such power and resourcefulness, Magneto sets up another force field and levitates himself to safety."
48,15,The Losers (2003),1,Dead Man's Hand,1,DC Comics,1/47/48_20060226075635_large.jpg,August 2003,US $ 2.95,Color;  Standard Comic Issue; 32 pages,None entered.
49,4,Starman (1994),46,Good Men and Bad: 1952,1,DC Comics,1/47/49_20060225153903_large.jpg,September 1998,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"There's a plot against Starman's life rumbling in the underground, but Bobo Benetti is unsure of what he's going to do about it. On one hand, he doesn't want to feel culpable to Ted Knight's murder. On the other hand, he's not a rat. He tries to get Shade to help, but Shade declines. The next day, Starman and the Jester get into a fight with the three supervillains who intend to kill him, but Bobo intervenes on the rooftops, beating the snipers into submission before they can kill Ted... Except for the last one, who is suddenly (and surprisingly) taken down by Shade."
50,15,The Losers (2003),2,Goliath Part One,1,DC Comics,1/357/50_20090913033732_large.jpg,September 2003,US $ 2.95,Color;  Standard Comic Issue; 32 pages,None entered.
51,15,The Losers (2003),3,Goliath Part Two,1,DC Comics,1/357/51_20090913034753_large.jpg,October 2003,US $ 2.95,Color;  Standard Comic Issue; 32 pages,None entered.
52,15,The Losers (2003),4,Goliath Part Three,1,DC Comics,1/357/52_20090913035221_large.jpg,November 2003,US $ 2.95,Color;  Standard Comic Issue; 32 pages,None entered.
53,15,The Losers (2003),5,Goliath Part Four,1,DC Comics,1/357/53_20090913040037_large.jpg,December 2003,US $ 2.95,Color;  Standard Comic Issue; 32 pages,None entered.
54,15,The Losers (2003),6,Goliath Conclusion,1,DC Comics,1/357/54_20090913040753_large.jpg,January 2004,US $ 2.95,Color;  Standard Comic Issue; 32 pages,None entered.
55,15,The Losers (2003),7,Downtime ,1,DC Comics,1/357/55_20090913043047_large.jpg,February 2004,US $ 2.95,Color;  Standard Comic Issue; 32 pages,None entered.
56,15,The Losers (2003),8,Downtime - Part 2,1,DC Comics,1/357/56_20090913043714_large.jpg,March 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
57,15,The Losers (2003),9,Island Life - Part 1,1,DC Comics,1/357/57_20090913044928_large.jpg,April 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
58,15,The Losers (2003),10,Island Life - Part 2,1,DC Comics,1/357/58_20090913045649_large.jpg,May 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
59,15,The Losers (2003),11,Island Life - Part 3,1,DC Comics,1/170/59_20070225200128_large.jpg,June 2004,US $ 2.95,Color;  Standard Comic Issue,"As veteran agent Marvin Stegler digs ever closer to the truth, the beleaguered Losers race against time to seize top secret files from a Caribbean villa. But when Max's reinforcements trap them in a running battle through a town swamped by volcanic ash, they find themselves going up against the most unstoppable adversary of all: Mother Nature!"
61,15,The Losers (2003),13,Sheikdown - Part 1,1,DC Comics,1/357/61_20090913160840_large.jpg,August 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
62,15,The Losers (2003),14,Sheikdown - Part 2,1,DC Comics,1/357/62_20090913161456_large.jpg,September 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
63,15,The Losers (2003),15,Blowback,1,DC Comics,1/47/63_20060226075124_large.jpg,October 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
64,15,The Losers (2003),16,"Pass, The  - Part 1",1,DC Comics,1/174/64_20070321135046_large.jpg,November 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
65,15,The Losers (2003),17,"Pass, The  - Part 2",1,DC Comics,1/174/65_20070324094358_large.jpg,December 2004,US $ 2.95,Color;  Standard Comic Issue,None entered.
66,15,The Losers (2003),18,"Pass, The  - Part 3",1,DC Comics,1/3/66_20050923181225_large.jpg,January 2005,US $ 2.95,Color;  Standard Comic Issue,None entered.
67,15,The Losers (2003),19,"Pass, The  - Part 4",1,DC Comics,1/3/67_20050923181318_large.jpg,February 2005,US $ 2.95,Color;  Standard Comic Issue,None entered.
68,15,The Losers (2003),20,London Calling - Part 1,1,DC Comics,1/3/68_20050923181452_large.jpg,March 2005,US $ 2.95,Color;  Standard Comic Issue,None entered.
69,15,The Losers (2003),21,London Calling - Part 2,1,DC Comics,1/3/69_20050923181542_large.jpg,April 2005,US $ 2.95,Color;  Standard Comic Issue,None entered.
70,64,JLA: Classified (2005),5,Yadda Yadda Yadda,1,DC Comics,1/1/70_20051116123605_large.jpg,May 2005,US $ 2.99,Color;  Standard Comic Issue,"Guy Gardner and Power Girl try to make sense of their role in the misadventures of the so-called 'Superbuddies', unaware that Booster Gold's trademarked immaturity may be unwittingly pulling them in directions they definitely don't want to go."
71,35,Batman (1940),636,"Under the Hood, Part 2: First Strike",1,DC Comics,1/603/71_20131221110341_large.jpg,March 2005,US $ 2.25,Color;  Standard Comic Issue,"Black Mask has a shipment of some illegal material coming in and both Batman and Red Hood want to stop him. Batman and Nightwing fight through some guards with a high-tech weapons to find that the crate is filled with gimmick weapons like Captain Boomerang's boomerangs and Penguin's umbrellas. It's then blown up by a second crate containing a bomb activated by Red Hood. Batman and Nightwing chase Hood down but when they think they've cornered him, they only find Amazo."
72,75,Hawkman (2002),39,Farewell My Enemy Part 3,1,DC Comics,1/240/72_20080215125527_large.jpg,June 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
73,76,JLA (1997),35,The Guilty,1,DC Comics,1/4/73_20050924134110_large.jpg,November 1999,US $ 1.99,Color;  Standard Comic Issue,"Following the events of Day of Judgment, the new Spectre explores his place in the world and learns what sins to punish, and which sins to 'ignore'."
74,4,Starman (1994),32,"Infernal Devices, Part 3",1,DC Comics,1/47/74_20060224140647_large.jpg,July 1997,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"As Jack fights for his life against Copperhead in the Infernal Dr. Pip's new headquarters, the police have finally found Grundy. But, while they attempt to subdue him, he and Mason fall through the rotten sewers. Grundy tells Mason that he wanted to prove something to Jack and that's why he was near Jack's home. Meanwhile, Jack wakes up in a haze, tied up by Dr. Pip. The two villains set a bomb and intend to leave Jack to be killed with the rest of the people in the store. The Black Pirate incapacitates Copperhead and captures Dr. Pip, but the bomb still endangers them all. He manages to get many out, but the bomb still goes off, trapping Jack and several others in a collapsed section of the store. Grundy comes to the rescue, allowing the trapped people to escape, but the rubble collapses on him, presumably killing him. Before he dies, he apologizes for 'bad Grundy' killing Sylvester Pemberton."
75,50,The Flash (1987),217,Post-Crisis,1,DC Comics,1/152/75_20061219145723_large.jpg,February 2005,US $ 2.25,Color;  Standard Comic Issue,None entered.
76,75,Hawkman (2002),43,Fly in the Face of Danger,1,DC Comics,1/240/76_20080215125657_large.jpg,October 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
77,77,Justice League of America (1960),116,The Kid Who Won Hawkman's Wings!,1,DC Comics,1/903/77_20171212164451_large.jpg,March 1975,US $ 0.60,Color;  Standard Comic Issue; 100 pages,None entered.
78,80,Day of Judgment (1999),1,The Summoning,1,DC Comics,1/4/78_20050924150839_large.jpg,November 1999,US $ 2.95,Color;  Standard Comic Issue,None entered.
79,36,Day of Vengeance (2005),1,One Last Drink at the End of Time,1,DC Comics,1/195/79_20070629013227_large.jpg,June 2005,US $ 2.50,Color;  Standard Comic Issue; 32 pages,"The forces of magic across the DC Universe are being ravaged by the Spectre run amok.  Behind the Spectre's rampage is revealed to be Eclipso, this time possessing the body of Jean Loring.  With the Spectre taking out the heavy-hitters, including turning the Phantom Stranger into a mouse, will it take some former losers to stop the Wrath of God?"
80,36,Day of Vengeance (2005),2,Some Enchantress Evening,1,DC Comics,1/195/80_20070629013546_large.jpg,July 2005,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
81,36,Day of Vengeance (2005),3,A Hot Night in Budapest,1,DC Comics,1/195/81_20070629014051_large.jpg,August 2005,US $ 2.50,Color;  Standard Comic Issue; 40 pages,None entered.
82,36,Day of Vengeance (2005),4,Monkey Business,1,DC Comics,1/195/82_20070629014129_large.jpg,September 2005,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
83,36,Day of Vengeance (2005),5,The Particle Theory of Darkness,1,DC Comics,1/195/83_20070629014507_large.jpg,October 2005,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
84,71,Countdown to Infinite Crisis (2005),1,Countdown to Infinite Crisis,1,DC Comics,1/3/84_20051110201734_large.jpg,April 2005,US $ 1.00,Color;  Standard Comic Issue,None entered.
85,70,The OMAC Project (2005),1,The Eye in the Sky,1,DC Comics,1/1/85_20050913234531_large.jpg,June 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
86,70,The OMAC Project (2005),2,There is No I in Team,1,DC Comics,1/1/86_20050913234747_large.jpg,July 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
87,70,The OMAC Project (2005),3,The M-E in Team,1,DC Comics,1/1/87_20050913233830_large.jpg,August 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
88,70,The OMAC Project (2005),4,The King is Dead!,1,DC Comics,1/1/88_20050913233956_large.jpg,September 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
89,70,The OMAC Project (2005),5,Long Live the King!,1,DC Comics,1/2/89_20050919205105_large.jpg,October 2005,US $ 2.50,Color;  Standard Comic Issue,"In the wake of the death of Maxwell Lord, Brother Eye initiates the next phase in its programming."
90,75,Hawkman (2002),37,Farewell My Enemy Part 1,1,DC Comics,1/240/90_20080215125444_large.jpg,April 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
91,75,Hawkman (2002),38,Farewell My Enemy Part 2,1,DC Comics,1/240/91_20080215125508_large.jpg,May 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
92,75,Hawkman (2002),40,Farewell My Enemy Part 4,1,DC Comics,1/240/92_20080215125548_large.jpg,July 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
93,75,Hawkman (2002),41,Farewell My Enemy Part 5,1,DC Comics,1/240/93_20080215125612_large.jpg,August 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
94,75,Hawkman (2002),42,Farewell My Enemy Aftermath,1,DC Comics,1/240/94_20080215125634_large.jpg,September 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
95,34,Action Comics (1938),1,"Superman, Champion of the Oppressed",1,DC Comics,1/1/95_20050912011413_large.jpg,June 1938,US $ 0.10,Color;  Standard Comic Issue; 64 pages,First Superman story. Tells the story of how he came to Earth and explains his remarkable powers. He saves an innocent woman from being executed and turns in the real murderer. Then he goes on a date with Lois as Clark Kent. Some thugs nab Lois cause they want to show her a good time. Superman crushes their car like it was paper. Superman learns of an arms dealer who started a war. He ventures off to right this wrong. The story ends with one of the arms dealer's cronies at the mercy of Superman.
96,55,Detective Comics (1937),27,The Case of the Chemical Syndicate,1,DC Comics,1/1/96_20050912011629_large.jpg,May 1939,US $ 0.10,Color;  Standard Comic Issue; 64 pages,The Batman helps Commissioner Gordon solve a murder mystery for the first time.
97,81,Plastic Man (2004),1,Rebound,1,DC Comics,1/37/97_20060102232643_large.jpg,February 2004,US $ 2.95,Color;  Standard Comic Issue,"Plastic Man has saved the day once again! After busting two goons plotting something nefarious, Plas rakes in the ladies until they finally go home and he begs his psyche not to let him dream. So, naturally, he does. Plas dreams of Eel O'Brien and his origins. Conveniantly, he wakes up just when his origin is finished being told in dream form. The Chief has a murder case on his hands and needs the help of Plastic Man. But, bizarrely enough, they manage to find the wallet of Eel O'Brien at the crime scene and he becomes public enemy #1!"
98,81,Plastic Man (2004),2,Rubber the Wrong Way,1,DC Comics,1/37/98_20060102233334_large.jpg,March 2004,US $ 2.95,Color;  Standard Comic Issue,"Eel O'Brian has gone uncaught for years, and because Plastic Man has been on the case nearly as long (being as he is O'Brian), naturally he should head up the case. However, the Chief decides to call in someone new to help solve it, because of the little amount of work Plas has done on finding Eel. Fearful of letting his identity slip, Plastic Man attempts to fool the Chief with a fake Agent Morgan while Woozy redirects the real Agent Morgan. Unfortunately, his plan falls to pieces. The two get to work on the case, finally getting a lead in the form of a brick to Plastic Man's head. They follow up on it, finding Red Herring. But, otherwise, they're no closer to finding Eel... Until they find Eel's wallet on Plastic Man's person, only to conclude that they are one and the same!"
99,81,Plastic Man (2004),3,Rubber Banned!,1,DC Comics,1/37/99_20060102234121_large.jpg,April 2004,US $ 2.95,Color;  Standard Comic Issue,"With Plastic Man's identity out in the open, the FBI attempt to subdue and capture him using acetone and an extremely cold air conditioning system. As Plastic Man escapes through the ventilation system, he freezes, allowing them to transport him safely to a morgue freezer. Uncertain as to whether or not he has to breathe, they call the JLA for consultation. They tell him that he does, so they decide to have the police cart him down to the meat packing district. But, before they can get him there, he escapes from his bodybag prison."
100,81,Plastic Man (2004),4,"It Was the Best of Times, It Was the Worst of Times.",1,DC Comics,1/37/100_20060102234809_large.jpg,May 2004,US $ 2.95,Color;  Standard Comic Issue,"Plastic Man has escaped from FBI custody and is currently on the run to destinations unknown. Meanwhile, Woozy Winks has quickly been tossed aside by the FBI, despite being the one who caught Plas. After being literally thrown out of the building, a nefarious looking evildoer has a man disguised as a homeless man follow him to ensure that they find Plastic Man. When he attempts to foil a mugging, Woozy is kidnapped by the shadowy villain and is laid out as bait to a trap that will kill Plastic Man. When Plas discovers Woozy is being held captive, he runs to his rescue, hoping to outrace an arrow, a vat of acetone and some fire to save his best friends life."
101,81,Plastic Man (2004),5,Despair,1,DC Comics,1/37/101_20060102235401_large.jpg,June 2004,US $ 2.95,Color;  Standard Comic Issue,"Although it appears that Plastic Man was destroyed by the villain's scheme, it only appeared that way to the villain's perspective. Plas races towards Woozy anyway but finds himself too late. Woozy Winks is dead. At the funeral, Plastic Man attempts to pay his final respects, but is nearly caught by the FBI. Morgan and the Chief work together to try to find him and ultimately discover that it must have been an inside job that killed Woozy and brought Plastic Man out. The Chief suddenly falls, poisoned as Morgan stands over him, confirming his theory. Meanwhile, Plastic Man has flown himself to the monestary where his powers manifested."
